# BLASTP 2.2.30+
# Query: sp|P58753|TIRAP_HUMAN Toll/interleukin-1 receptor domain-containing adapter protein OS=Homo sapiens OX=9606 GN=TIRAP PE=1 SV=2
# Database: /home/deploy/blast/db/kaust_genomes/adig_prots /home/deploy/blast/db/kaust_genomes/aten_prots /home/deploy/blast/db/kaust_genomes/aequ_prots /home/deploy/blast/db/kaust_genomes/aip_prots_no_trailing_asterisk /home/deploy/blast/db/kaust_genomes/afen_prot /home/deploy/blast/db/kaust_genomes/dspp_prot /home/deploy/blast/db/kaust_genomes/ffun_prots /home/deploy/blast/db/kaust_genomes/gfas_prots /home/deploy/blast/db/kaust_genomes/gasp_prots /home/deploy/blast/db/kaust_genomes/hmag_prots /home/deploy/blast/db/kaust_genomes/nvec_prots /home/deploy/blast/db/kaust_genomes/pdam_prots /home/deploy/blast/db/kaust_genomes/plut_prots /home/deploy/blast/db/kaust_genomes/sc_prots /home/deploy/blast/db/kaust_genomes/spis_prots /home/deploy/blast/db/kaust_genomes/skaw_prots /home/deploy/blast/db/kaust_genomes/smic_prots /home/deploy/blast/db/kaust_genomes/smin_prots /home/deploy/blast/db/kaust_genomes/xt_prots
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 157 hits found
sp|P58753|TIRAP_HUMAN	evm.model.utg207.68	30.97	113	73	3	86	198	451	558	7e-10	62.0
sp|P58753|TIRAP_HUMAN	aten_0.1.m1.21348.m1	31.78	107	64	2	79	178	448	552	7e-10	62.0
sp|P58753|TIRAP_HUMAN	jgi_Nemve1_57985_gw.141.125.1	31.19	109	70	2	90	198	2	105	9e-10	58.5
sp|P58753|TIRAP_HUMAN	plut2.m8.19255.m1	30.69	101	61	2	86	179	488	586	2e-09	61.2
sp|P58753|TIRAP_HUMAN	plut2.m8.19259.m1	30.69	101	61	2	86	179	52	150	2e-09	60.5
sp|P58753|TIRAP_HUMAN	plut2.m8.19259.m1	30.09	113	73	3	86	198	415	521	6e-09	59.3
sp|P58753|TIRAP_HUMAN	gfas1.m1.10442.m1	29.52	105	65	2	82	179	410	512	3e-09	60.5
sp|P58753|TIRAP_HUMAN	maker-SC_scaffold478-snap-gene-0.27-mRNA-1	32.17	143	89	6	83	221	213	351	9e-09	58.5
sp|P58753|TIRAP_HUMAN	ffun1.m4.16159.m1	30.00	100	62	2	86	178	410	508	2e-08	57.8
sp|P58753|TIRAP_HUMAN	adi_v1.19280	32.50	80	52	1	86	165	5	82	3e-08	57.0
sp|P58753|TIRAP_HUMAN	evm.model.scaffold_115.27	25.74	136	92	2	51	179	483	616	5e-08	56.6
sp|P58753|TIRAP_HUMAN	gasp1.m3.29331.m1	19.83	116	91	1	85	198	47	162	1e-06	51.2
sp|P58753|TIRAP_HUMAN	evm.model.utg479.29	28.06	139	92	6	69	203	32	166	2e-06	51.2
sp|P58753|TIRAP_HUMAN	gasp1.m3.29353.m1	24.14	116	84	3	86	198	503	617	5e-06	50.8
sp|P58753|TIRAP_HUMAN	AIPGENE8976	27.73	119	81	4	83	198	133	249	7e-06	49.7
sp|P58753|TIRAP_HUMAN	evm.model.scaffold_169.18	29.57	115	77	3	86	198	122	234	9e-06	49.7
sp|P58753|TIRAP_HUMAN	plut2.m8.3882.m1	29.57	115	77	3	86	198	130	242	9e-06	49.3
sp|P58753|TIRAP_HUMAN	evm.model.scaffold_169.19	31.36	118	77	3	83	198	175	290	1e-05	49.3
